,Level of Analysis, Number of<br>Simulations,Median LBGI<br>     (IQR),Median LBGI Risk Score<br>             (IQR),Median DKAI<br>     (IQR),Median DKAI Risk Score<br>             (IQR)
0,All Analyses Combined,2430.0,0.1 (IQR=0.0-0.8),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
1,correction_bolus,810.0,0.1 (IQR=0.0-0.3),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
2,meal_bolus,810.0,0.0 (IQR=0.0-0.3),0.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
3,temp_basal_only,810.0,0.6 (IQR=0.1-2.0),1.0 (IQR=1.0-1.0),0.0 (IQR=0.0-1.8),0.0 (IQR=0.0-0.0)
4,BG Test Condition 1,270.0,1.1 (IQR=1.0-2.0),1.0 (IQR=1.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
5,BG Test Condition 2,270.0,0.0 (IQR=0.0-0.0),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
6,BG Test Condition 3,270.0,0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
7,BG Test Condition 4,270.0,0.8 (IQR=0.3-1.1),1.0 (IQR=1.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
8,BG Test Condition 5,270.0,0.1 (IQR=0.0-0.1),1.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
9,BG Test Condition 6,270.0,0.0 (IQR=0.0-0.1),0.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
10,BG Test Condition 7,270.0,0.3 (IQR=0.3-0.5),1.0 (IQR=1.0-1.0),0.0 (IQR=0.0-0.0),0.0 (IQR=0.0-0.0)
11,BG Test Condition 8,270.0,0.0 (IQR=0.0-0.4),0.0 (IQR=0.0-1.0),0.0 (IQR=0.0-0.7),0.0 (IQR=0.0-0.0)
12,BG Test Condition 9,270.0,0.0 (IQR=0.0-25.9),1.0 (IQR=0.0-4.0),0.0 (IQR=0.0-3.2),0.0 (IQR=0.0-1.0)
